         lexeme	    lineNo	 tokenName	valueIfNumber	parentNodeSymbol	isLeafNode	          nodeSymbol
              :	        31	     COLON	  --------	<declareStmt>	            YES	                    COLON	
           real	        31	      REAL	  --------	<dataType>	            YES	                     REAL	
       --------	  --------	  --------	  --------	<declareStmt>	             NO	               <dataType>	
              ;	        31	   SEMICOL	  --------	<declareStmt>	            YES	                  SEMICOL	
       --------	  --------	  --------	  --------	<statements>	             NO	              <statement>	
       --------	  --------	  --------	  --------	<statements>	             NO	             <statements>	
      get_value	        32	 GET_VALUE	  --------	  <ioStmt>	            YES	                GET_VALUE	
       --------	  --------	  --------	  --------	<statement>	             NO	                 <ioStmt>	
              (	        32	        BO	  --------	  <ioStmt>	            YES	                       BO	
              k	        32	        ID	  --------	  <ioStmt>	            YES	                       ID	
              )	        32	        BC	  --------	  <ioStmt>	            YES	                       BC	
              ;	        32	   SEMICOL	  --------	  <ioStmt>	            YES	                  SEMICOL	
       --------	  --------	  --------	  --------	<statements>	             NO	              <statement>	
       --------	  --------	  --------	  --------	<statements>	             NO	             <statements>	
            use	        33	       USE	  --------	<moduleReuseStmt>	            YES	                      USE	
       --------	  --------	  --------	  --------	<simpleStmt>	             NO	        <moduleReuseStmt>	
         module	        33	    MODULE	  --------	<moduleReuseStmt>	            YES	                   MODULE	
        readArr	        33	        ID	  --------	<moduleReuseStmt>	            YES	                       ID	
       --------	  --------	  --------	  --------	<moduleReuseStmt>	             NO	             <statements>	
       --------	  --------	  --------	  --------	<moduleReuseStmt>	             NO	              <statement>	
       --------	  --------	  --------	  --------	<moduleReuseStmt>	             NO	       <actual_para_list>	
       --------	  --------	  --------	  --------	<moduleReuseStmt>	             NO	                    <op2>	
       --------	  --------	  --------	  --------	<statement>	             NO	             <simpleStmt>	
       --------	  --------	  --------	  --------	<statements>	             NO	              <statement>	
       --------	  --------	  --------	  --------	<statements>	             NO	             <statements>	
       --------	  --------	  --------	  --------	<statements>	             NO	             <statements>	
            end	        37	       END	  --------	<moduleDef>	            YES	                      END	
       --------	  --------	  --------	  --------	<whichStmt>	             NO	              <statement>	
       --------	  --------	  --------	  --------	<assignmentStmt>	             NO	              <whichStmt>	
             <<	        44	       DEF	  --------	  <module>	            YES	                      DEF	
       --------	  --------	  --------	  --------	<statements>	             NO	                 <module>	
         module	        44	    MODULE	  --------	  <module>	            YES	                   MODULE	
        readArr	        44	        ID	  --------	  <module>	            YES	                       ID	
             >>	        44	     ENDEF	  --------	  <module>	            YES	                    ENDEF	
          takes	        45	     TAKES	  --------	  <module>	            YES	                    TAKES	
          input	        45	     INPUT	  --------	  <module>	            YES	                    INPUT	
              [	        45	      SQBO	  --------	  <module>	            YES	                     SQBO	
           arr1	        45	        ID	  --------	<input_plist>	            YES	                       ID	
       --------	  --------	  --------	  --------	  <module>	             NO	            <input_plist>	
              :	        45	     COLON	  --------	<input_plist>	            YES	                    COLON	
          array	        45	     ARRAY	  --------	<dataType>	            YES	                    ARRAY	
       --------	  --------	  --------	  --------	<input_plist>	             NO	               <dataType>	
              [	        45	      SQBO	  --------	<dataType>	            YES	                     SQBO	
       --------	  --------	  --------	  --------	    <sign>	             NO	               <caseStmt>	
       --------	  --------	  --------	  --------	<index_arr>	             NO	                   <sign>	
       --------	  --------	  --------	  --------	<range_arr>	             NO	              <index_arr>	
              1	        45	       NUM	         1	<new_index>	            YES	                      NUM	
       --------	  --------	  --------	  --------	<index_arr>	             NO	              <new_index>	
       --------	  --------	  --------	  --------	<dataType>	             NO	              <range_arr>	
             ..	        45	   RANGEOP	  --------	<range_arr>	            YES	                  RANGEOP	
       --------	  --------	  --------	  --------	    <sign>	             NO	               <caseStmt>	
       --------	  --------	  --------	  --------	<index_arr>	             NO	                   <sign>	
       --------	  --------	  --------	  --------	<range_arr>	             NO	              <index_arr>	
             15	        45	       NUM	        15	<new_index>	            YES	                      NUM	
       --------	  --------	  --------	  --------	<index_arr>	             NO	              <new_index>	
              ]	        45	      SQBC	  --------	<dataType>	            YES	                     SQBC	
             of	        45	        OF	  --------	<dataType>	            YES	                       OF	
           real	        45	      REAL	  --------	    <type>	            YES	                     REAL	
       --------	  --------	  --------	  --------	<dataType>	             NO	                   <type>	
              ,	        45	     COMMA	  --------	     <iP0>	            YES	                    COMMA	
       --------	  --------	  --------	  --------	<input_plist>	             NO	                    <iP0>	
              k	        45	        ID	  --------	     <iP0>	            YES	                       ID	
              :	        45	     COLON	  --------	     <iP0>	            YES	                    COLON	
        integer	        45	   INTEGER	  --------	<dataType>	            YES	                  INTEGER	
       --------	  --------	  --------	  --------	     <iP0>	             NO	               <dataType>	
       --------	  --------	  --------	  --------	     <iP0>	             NO	               <caseStmt>	
       --------	  --------	  --------	  --------	     <iP0>	             NO	                    <iP0>	
              ]	        45	      SQBC	  --------	  <module>	            YES	                     SQBC	
              ;	        45	   SEMICOL	  --------	  <module>	            YES	                  SEMICOL	
       --------	  --------	  --------	  --------	     <ret>	             NO	               <caseStmt>	
       --------	  --------	  --------	  --------	  <module>	             NO	                    <ret>	
          start	        46	     START	  --------	<moduleDef>	            YES	                    START	
       --------	  --------	  --------	  --------	  <module>	             NO	              <moduleDef>	
        declare	        47	   DECLARE	  --------	<declareStmt>	            YES	                  DECLARE	
       --------	  --------	  --------	  --------	<statement>	             NO	            <declareStmt>	
        tempvar	        47	        ID	  --------	  <idList>	            YES	                       ID	
       --------	  --------	  --------	  --------	<declareStmt>	             NO	                 <idList>	
       --------	  --------	  --------	  --------	     <iL0>	             NO	               <caseStmt>	
       --------	  --------	  --------	  --------	  <idList>	             NO	                    <iL0>	
              :	        47	     COLON	  --------	<declareStmt>	            YES	                    COLON	
              ;	        47	   SEMICOL	  --------	<declareStmt>	            YES	                  SEMICOL	
        declare	        48	   DECLARE	  --------	<declareStmt>	            YES	                  DECLARE	
       --------	  --------	  --------	  --------	<statement>	             NO	            <declareStmt>	
              i	        48	        ID	  --------	  <idList>	            YES	                       ID	
       --------	  --------	  --------	  --------	<declareStmt>	             NO	                 <idList>	
       --------	  --------	  --------	  --------	     <iL0>	             NO	               <caseStmt>	
       --------	  --------	  --------	  --------	  <idList>	             NO	                    <iL0>	
              :	        48	     COLON	  --------	<declareStmt>	            YES	                    COLON	
        integer	        48	   INTEGER	  --------	<dataType>	            YES	                  INTEGER	
       --------	  --------	  --------	  --------	<declareStmt>	             NO	               <dataType>	
              ;	        48	   SEMICOL	  --------	<declareStmt>	            YES	                  SEMICOL	
       --------	  --------	  --------	  --------	     <op2>	             NO	              <statement>	
       --------	  --------	  --------	  --------	<declareStmt>	             NO	                    <op2>	
              i	        49	        ID	  --------	<assignmentStmt>	            YES	                       ID	
       --------	  --------	  --------	  --------	<simpleStmt>	             NO	         <assignmentStmt>	
             :=	        49	  ASSIGNOP	  --------	<lvalueIDStmt>	            YES	                 ASSIGNOP	
       --------	  --------	  --------	  --------	<whichStmt>	             NO	           <lvalueIDStmt>	
              1	        49	       NUM	         1	  <factor>	            YES	                      NUM	
       --------	  --------	  --------	  --------	    <term>	             NO	                 <factor>	
       --------	  --------	  --------	  --------	<arithmeticExpr>	             NO	                   <term>	
       --------	  --------	  --------	  --------	      <T0>	             NO	               <caseStmt>	
       --------	  --------	  --------	  --------	    <term>	             NO	                     <T0>	
       --------	  --------	  --------	  --------	<booleanExpr>	             NO	         <arithmeticExpr>	
       --------	  --------	  --------	  --------	     <AE0>	             NO	               <caseStmt>	
